Ax,Ay,Az,Gx,Gy,Gz,activity
-0.374878,-0.084839,0.271362,19.16504,55.2368,14.46533,brisk walking
-0.636963,-0.136353,0.444092,46.50878,116.0278,183.2275,brisk walking
-0.612793,-0.219849,0.276245,20.08056,29.66308,29.72412,brisk walking
-0.468872,-0.221069,0.234497,11.718748,16.17432,19.04297,brisk walking
-0.37915,-0.21875,0.321899,15.441892,-12.390136,-2.319336,brisk walking
-0.51123,-0.352295,0.349365,22.3999,-30.3955,-6.713866,brisk walking
-0.930542,-0.504517,0.290039,20.62988,-23.92578,3.173828,brisk walking
-0.672608,-0.162231,0.516846,19.59229,13.122556,-3.845214,brisk walking
-0.739624,-0.301392,0.611816,26.12304,-24.04785,-3.479003,brisk walking
-1.074585,-0.383301,0.584351,20.019532,-24.78027,-3.051757,brisk walking
-1.044678,-0.254517,0.49646,15.686032,-8.789064,-1.586914,brisk walking
-0.833252,-0.209351,0.507446,16.05225,-16.17432,-0.427246,brisk walking
-0.873657,-0.29773,0.512451,15.502928,-19.34815,0.793457,brisk walking
-0.721802,-0.371216,0.453491,11.657712,-21.3623,-7.202148,brisk walking
-0.80603,-0.301514,0.432983,16.6626,-49.13329,-7.080076,brisk walking
-0.94751,-0.275024,0.419434,14.34326,-35.15626,-4.089356,brisk walking
-0.931152,-0.237427,0.393188,11.596676,-15.07568,1.281738,brisk walking
-0.951782,-0.268188,0.312744,2.990722,-5.554198,8.666994,brisk walking
-0.833008,-0.216553,0.508789,-6.835936,-10.498044,17.21192,brisk walking
-0.891724,-0.18335,0.510132,-5.126952,-38.20802,25.573724,brisk walking
-0.977539,-0.297363,0.483398,-20.62988,-27.03857,26.61132,brisk walking
-0.875122,-0.227539,0.526245,-26.79443,-19.53125,27.77099,brisk walking
-0.984497,-0.274292,0.506104,-31.86035,-10.19287,31.55517,brisk walking
-0.847168,-0.195801,0.510498,-34.11866,2.197266,33.99659,brisk walking
-0.796997,-0.259644,0.471924,-33.87452,-17.63916,33.87452,brisk walking
-0.838013,-0.311646,0.488525,-40.03907,-11.596676,31.67724,brisk walking
-0.832886,-0.25415,0.523071,-39.917,-3.356933,35.46143,brisk walking
-0.809937,-0.308716,0.555786,-52.30712,-5.859374,39.7339,brisk walking
-0.817749,-0.437988,0.533081,-60.66894,-0.549316,49.25536,brisk walking
-0.695557,-0.40564,0.624756,-69.45802,4.577638,48.0957,brisk walking
-0.81482,-0.349121,0.660889,-72.876,11.41357,48.58398,brisk walking
-0.651856,-0.255737,0.625366,-78.67434,24.47509,48.15673,brisk walking
-1.047852,-0.226929,0.642578,-83.43504,-9.94873,64.81934,brisk walking
-0.697266,-0.268066,0.484375,-102.84422,11.2915,62.8662,brisk walking
-0.841064,-0.242798,0.466919,-97.9614,5.554198,57.92236,brisk walking
-0.672363,-0.084229,0.446533,-76.78224,-5.004884,41.62596,brisk walking
-0.784424,-0.111084,0.373535,-65.55176,-2.01416,36.13282,brisk walking
-0.780396,-0.161377,0.404297,-63.84276,1.525878,33.3252,brisk walking
-0.901001,-0.231079,0.36731,-67.688,-1.89209,44.61669,brisk walking
-0.900879,-0.238892,0.395386,-67.688,4.211426,44.25048,brisk walking
-0.910278,-0.256836,0.404663,-59.99755,2.441407,36.25489,brisk walking
-0.99292,-0.241699,0.415649,-68.66456,1.89209,30.761716,brisk walking
-0.881348,-0.213989,0.383789,-75.5005,19.40918,34.72901,brisk walking
-0.80957,-0.109009,0.43042,-82.27536,14.526364,33.99659,brisk walking
-0.937988,-0.128296,0.504883,-89.4165,3.051757,31.005852,brisk walking
-0.915405,-0.113281,0.54126,-91.3696,-6.469726,28.62548,brisk walking
-0.880493,-0.007202,0.477539,-84.7778,-2.319336,29.84619,brisk walking
-0.922974,0.033081,0.478394,-83.43504,-11.596676,31.67724,brisk walking
-0.812134,-0.008179,0.491455,-86.853,-11.901852,33.02002,brisk walking
-0.82312,0.027222,0.485962,-88.7451,-13.366696,36.438,brisk walking
-0.744141,0.078247,0.514282,-80.5664,-17.33399,37.04834,brisk walking
-0.799683,0.053833,0.460693,-66.95558,-23.49853,32.22657,brisk walking
-0.877442,-0.003906,0.343994,-65.18556,-22.09472,32.53174,brisk walking
-0.955078,0.008179,0.282105,-70.37354,-15.07568,28.44238,brisk walking
-1.016358,-0.039673,0.273071,-73.30324,-17.51709,21.179192,brisk walking
-1.04834,-0.115356,0.216553,-77.3926,-18.06641,14.83154,brisk walking
-0.945312,-0.028809,0.313843,-78.67434,-6.835936,10.498044,brisk walking
-0.982788,-0.087402,0.290649,-79.834,6.469726,8.666994,brisk walking
-1.076782,-0.219482,0.275513,-92.041,11.108396,9.643556,brisk walking
-0.931885,-0.237793,0.282959,-95.7031,11.657712,13.549804,brisk walking
-0.85791,-0.285034,0.128906,-101.7456,23.071284,11.657712,brisk walking
-0.887085,-0.334351,0.252441,-102.78318,16.6626,5.737304,brisk walking
-1.078492,-0.51001,0.309204,-116.08884,21.24023,0.305176,brisk walking
-1.064331,-0.495606,0.152954,-137.6343,36.6211,1.037598,brisk walking
-0.951782,-0.299927,0.196411,-144.5923,53.40575,2.868652,brisk walking
-0.705688,-0.201538,0.187134,-130.188,43.02978,2.01416,brisk walking
-0.549561,-0.210327,0.122314,-121.2158,9.643556,-2.319336,brisk walking
-0.714234,-0.302612,-0.015015,-119.9951,-8.117676,-22.27783,brisk walking
-0.665894,-0.322266,-0.015625,-124.26756,11.596676,-40.16112,brisk walking
-0.641236,-0.380982,0.033936,-124.57272,14.09912,-80.38328,brisk walking
-0.723267,-0.347534,-0.077759,-124.20652,-10.80322,-94.97068,brisk walking
-0.725342,-0.412964,0.05835,-107.8491,-39.48975,-97.29002,brisk walking
-0.988526,-0.401856,-0.004272,-98.999,-156.25,-88.19578,brisk walking
-1.41748,-0.464722,0.131226,-97.1069,-114.624,-80.26124,brisk walking
-1.324952,-0.521118,-0.018677,-70.43458,24.47509,-91.73582,brisk walking
-1.200562,-0.577637,-0.064209,-42.60253,22.21679,-77.33154,brisk walking
-0.953491,-0.343384,-0.29773,15.31982,40.71044,-7.141112,brisk walking
-1.003784,-0.494629,-0.215088,26.18408,66.89454,5.920409,brisk walking
-0.930908,-0.681519,-0.188232,16.235352,80.99364,15.99121,brisk walking
-0.78894,-0.71521,-0.248535,14.160152,63.96484,24.6582,brisk walking
-0.661865,-0.666382,-0.277954,0.671386,44.67772,36.8042,brisk walking
-0.593506,-0.647461,-0.263062,8.300784,45.8374,30.70068,brisk walking
-0.45105,-0.693115,-0.214478,13.488768,45.28808,2.624511,brisk walking
-0.418579,-0.715698,-0.19519,15.99121,38.14698,-13.97705,brisk walking
-0.327026,-0.758789,-0.144653,20.3247,26.855464,-40.34423,brisk walking
-0.290894,-0.81189,-0.133667,25.75683,14.770504,-54.68749,brisk walking
-0.236694,-0.97937,-0.11438,29.96826,-22.949216,-76.47706,brisk walking
-0.23645,-1.07837,-0.092041,31.127924,-37.29248,-87.76854,brisk walking
-0.2146,-1.362427,-0.030396,25.207516,-70.67872,-112.91502,brisk walking
