ax,ay,az,gx,gy,gz,activity
0.203369,0.220215,-0.40564,0.671386,-1.708984,0,cycling
0.37915,0.404419,-0.775513,34.91212,97.04588,173.5229,cycling
0.399658,0.430176,-0.824585,1.220704,1.953124,10.986324,cycling
0.401733,0.431763,-0.822022,1.098633,1.89209,9.70459,cycling
0.404175,0.428955,-0.81836,0.12207,-0.732422,-0.305176,cycling
0.400879,0.437256,-0.818604,0,-0.183105,-0.366211,cycling
0.402222,0.425659,-0.820801,-0.488281,0.366211,0.366211,cycling
0.401245,0.435791,-0.813965,-0.183105,-0.671386,0.366211,cycling
0.400757,0.434326,-0.815552,0.427246,-0.244141,0.12207,cycling
0.407959,0.426148,-0.826538,-0.610352,0.854492,0.244141,cycling
0.404785,0.432007,-0.832886,-0.793457,0.488281,0.427246,cycling
0.410522,0.418701,-0.82019,-0.732422,-0.12207,-0.488281,cycling
0.404175,0.433472,-0.806519,-1.098633,-1.037598,-0.610352,cycling
0.390625,0.437134,-0.812988,-0.305176,0.12207,-0.183105,cycling
0.414551,0.433228,-0.819214,-0.549316,1.953124,-0.488281,cycling
0.421509,0.430298,-0.810913,-0.12207,-0.305176,-0.915527,cycling
0.416748,0.437134,-0.804444,0.12207,-2.441407,-0.793457,cycling
0.405151,0.436524,-0.803101,0.549316,-3.112792,-0.061035,cycling
0.399048,0.432617,-0.828247,-0.610352,-1.525878,0.12207,cycling
0.398316,0.435303,-0.833252,-0.854492,0.244141,0,cycling
0.405274,0.426758,-0.810181,-1.220704,0.305176,-0.305176,cycling
0.406006,0.436768,-0.807007,-0.427246,-0.305176,-0.610352,cycling
0.399536,0.437988,-0.81311,-0.244141,-0.610352,0.12207,cycling
0.401489,0.436768,-0.822754,0.061035,0.549316,1.281738,cycling
0.406982,0.433716,-0.809692,-0.183105,1.220704,0.427246,cycling
0.414063,0.436279,-0.802002,-0.305176,1.159668,0.061035,cycling
0.40686,0.441162,-0.811646,-0.549316,0.305176,0.183105,cycling
0.381958,0.441162,-0.828003,-0.366211,0.854492,1.89209,cycling
0.394409,0.429199,-0.823608,-0.976562,1.525878,1.281738,cycling
0.399658,0.438843,-0.827515,-1.281738,1.770019,1.586914,cycling
0.415772,0.42688,-0.834595,-1.953124,2.624511,2.929687,cycling
0.430054,0.40271,-0.839234,-3.356933,2.319336,1.281738,cycling
0.405151,0.447266,-0.85791,-4.211426,1.525878,-4.028321,cycling
0.396851,0.467651,-0.794678,-3.967285,2.197266,-4.699708,cycling
0.450684,0.490234,-0.819458,-8.666994,3.845214,-3.967285,cycling
0.51001,0.437988,-0.733276,-6.591796,-10.19287,-9.21631,cycling
0.346069,0.447022,-0.784668,-6.28662,-11.474608,-11.535644,cycling
0.4375,0.368042,-0.750854,0.732422,4.699708,-15.930172,cycling
0.368896,0.450806,-0.833008,-3.601074,2.929687,-6.958006,cycling
0.334351,0.511597,-0.835083,-0.305176,8.361816,-1.708984,cycling
0.375488,0.400391,-0.854248,-1.159668,0,0.915527,cycling
0.400269,0.476196,-0.823853,-0.915527,9.765626,1.037598,cycling
0.385864,0.478638,-0.776978,1.831054,0.183105,-0.305176,cycling
0.441528,0.413574,-0.804199,0.244141,-4.882814,2.136231,cycling
0.442749,0.446045,-0.840942,-1.586914,-1.281738,2.380371,cycling
0.350098,0.439453,-0.807862,-3.540038,2.136231,-0.183105,cycling
0.378784,0.497437,-0.851685,-4.821778,8.72803,2.441407,cycling
0.4375,0.393555,-0.796265,-0.366211,1.159668,3.601074,cycling
0.43103,0.413452,-0.839478,-4.272462,6.04248,0.854492,cycling
0.463989,0.412964,-0.767578,-3.417968,1.037598,0.915527,cycling
0.432983,0.434814,-0.791382,-2.685546,-0.366211,1.586914,cycling
0.518677,0.401123,-0.739746,-2.136231,5.615234,-3.112792,cycling
0.506104,0.459106,-0.740723,-1.953124,2.136231,-0.12207,cycling
0.428589,0.419922,-0.769776,-0.061035,-0.488281,3.784179,cycling
0.438477,0.442261,-0.754272,0.366211,0.366211,6.469726,cycling
0.447022,0.474365,-0.806396,7.446288,-5.249022,9.82666,cycling
0.430542,0.41919,-0.809204,6.591796,-21.24023,14.46533,cycling
0.323853,0.423828,-0.90857,13.610836,-13.732908,11.04736,cycling
0.435913,0.35022,-0.779297,15.502928,-4.455568,6.53076,cycling
0.239136,0.384155,-1.099854,17.82227,5.798338,10.498044,cycling
0.394165,0.383301,-0.799683,1.403808,37.59766,6.225584,cycling
0.304077,0.654419,-0.779419,9.887696,10.253904,14.526364,cycling
0.587158,0.474365,-0.822876,15.136716,10.375976,2.990722,cycling
0.608765,0.387329,-0.737427,13.000484,-0.488281,-2.258301,cycling
0.506958,0.475708,-0.683106,-7.690428,9.765626,-7.629394,cycling
0.48169,0.395508,-0.722534,-8.911134,5.676268,-13.122556,cycling
0.498657,0.43457,-0.868164,-5.554198,-6.835936,-1.281738,cycling
0.380737,0.295776,-0.851074,2.01416,-9.399414,-2.807617,cycling
0.358521,0.527344,-0.855591,-2.624511,9.399414,-5.859374,cycling
0.52002,0.287354,-0.71106,-1.831054,7.995604,-10.009768,cycling
0.504639,0.342041,-0.793335,-8.72803,11.41357,-5.859374,cycling
0.525879,0.328003,-0.750244,-7.019042,12.69531,-1.098633,cycling
0.4729,0.37439,-0.801758,1.403808,12.69531,0.610352,cycling
0.515015,0.36792,-0.836914,-3.112792,17.45606,-0.427246,cycling
0.490845,0.37146,-0.825073,-2.807617,13.671872,2.868652,cycling
0.619019,0.337769,-0.716675,-1.098633,4.089356,1.464844,cycling
0.505127,0.342041,-0.808228,2.197266,-2.807617,-5.493162,cycling
0.592774,0.331299,-0.709351,1.953124,-2.258301,-2.624511,cycling
0.517334,0.392578,-0.797608,4.211426,-9.21631,-3.112792,cycling
0.549438,0.367798,-0.750977,1.953124,4.760742,-9.33838,cycling
0.525879,0.419922,-0.738037,7.385252,-6.896972,-4.577638,cycling
0.503174,0.347778,-0.765991,7.812498,-7.080076,-3.967285,cycling
0.547486,0.552246,-0.717896,7.263182,-9.765626,-2.563476,cycling
0.467407,0.319336,-0.739868,8.178714,-10.253904,-8.544924,cycling
0.456787,0.335083,-0.791016,-11.718748,-7.446288,-6.225584,cycling
0.411133,0.226685,-0.860108,5.065916,-7.324218,-6.04248,cycling
0.415283,0.465454,-0.81897,-5.126952,-4.272462,0,cycling
