Ax,Ay,Az,Gx,Gy,Gz,activity
0.170532,0.227295,-0.393311,2.929687,-12.634276,-7.202148,eating
0.227051,0.423462,-0.698975,159.79008,10.742184,246.643,eating
0.236816,0.424194,-0.734253,16.723632,-0.183105,3.417968,eating
0.326904,0.427856,-0.759033,17.08985,3.112792,1.708984,eating
0.330688,0.412964,-0.86377,11.16943,-2.563476,-2.685546,eating
0.358154,0.430054,-0.93042,2.990722,-0.366211,-1.220704,eating
0.266602,0.465576,-0.896851,-0.061035,-0.915527,2.197266,eating
0.217163,0.459717,-0.836914,-3.784179,20.69091,1.220704,eating
0.29126,0.471802,-0.839478,-5.676268,43.70116,-0.488281,eating
0.296265,0.483032,-0.8479,-3.356933,59.02098,-0.427246,eating
0.204468,0.481445,-0.798096,3.540038,104.7363,0.610352,eating
0.263794,0.475342,-0.761108,6.469726,153.9917,-4.699708,eating
0.351196,0.490723,-0.70044,10.43701,202.8198,-5.126952,eating
0.375855,0.506348,-0.667847,21.301268,260.7422,-9.94873,eating
0.481445,0.487427,-0.539673,24.963376,311.4624,-10.19287,eating
0.577759,0.49292,-0.384155,30.51757,356.079,-15.808104,eating
0.748902,0.501221,-0.240967,40.71044,389.2822,-18.18848,eating
0.949585,0.497925,-0.163086,47.18016,392.3339,-20.50781,eating
1.095093,0.471436,-0.076782,51.02538,346.6796,-23.803708,eating
1.156616,0.492554,0.058228,61.09618,267.6392,-40.2832,eating
1.161988,0.459595,0.082275,62.31688,219.6655,-40.03907,eating
1.061646,0.485474,0.078125,64.81934,186.58444,-41.44286,eating
0.988037,0.503174,0.105835,65.91798,165.039,-48.95018,eating
0.965698,0.52124,0.154663,68.11524,151.06204,-55.9082,eating
0.959595,0.533081,0.158814,68.7256,137.8174,-60.85204,eating
0.89978,0.571167,0.206177,66.95558,124.75584,-62.74413,eating
0.887451,0.585449,0.231567,73.4253,113.4033,-61.95068,eating
0.873902,0.587524,0.218994,72.75392,84.7778,-54.93163,eating
0.803833,0.608398,0.220703,73.2422,59.32616,-53.58886,eating
0.737427,0.692993,0.209717,74.40186,27.587884,-63.53759,eating
0.649048,0.675171,0.145264,74.4629,15.19775,-61.03514,eating
0.600708,0.694824,0.104004,71.5332,12.390136,-53.71093,eating
0.56836,0.687012,0.060303,65.67384,35.27832,-46.50878,eating
0.620606,0.626465,-0.030518,55.2368,0.244141,-35.70557,eating
0.480347,0.687012,-0.034546,32.34864,19.16504,-24.90234,eating
0.533814,0.658203,-0.010254,26.12304,32.1045,-17.57813,eating
0.585694,0.653198,-0.052612,0.976562,38.39112,-3.479003,eating
0.62207,0.669434,0.026489,-12.512204,16.96778,2.563476,eating
0.666748,0.665039,0.055542,-20.38574,-15.014646,7.263182,eating
0.705688,0.630371,0.026245,-48.33984,-115.1123,20.50781,eating
0.681885,0.607544,0.010132,-65.6128,-168.0908,29.90722,eating
0.649292,0.655152,0.023926,-77.81984,-201.2329,58.65478,eating
0.755493,0.663574,0.037231,-78.67434,-211.79196,64.45314,eating
0.651612,0.728882,-0.04248,-56.88476,-266.5406,77.9419,eating
0.698608,0.73584,-0.193359,-38.8794,-261.1084,80.99364,eating
0.583618,0.73584,-0.367798,-8.97217,-262.8785,74.40186,eating
0.554444,0.695679,-0.43689,-1.403808,-227.6611,66.22316,eating
0.56189,0.664795,-0.653442,5.859374,-211.79196,54.19921,eating
0.342529,0.601318,-0.740479,10.620116,-150.2686,36.37696,eating
0.475952,0.601929,-0.799561,6.65283,-82.45848,27.9541,eating
0.345093,0.567383,-0.805176,7.202148,-62.13378,21.11816,eating
0.347534,0.543945,-0.762818,3.234863,-16.113284,12.756344,eating
0.371094,0.55249,-0.812256,0.427246,-26.00097,-1.159668,eating
0.236084,0.536621,-0.775024,-0.488281,-8.789064,-4.638672,eating
0.239014,0.528442,-0.80603,-0.427246,22.33886,-5.981444,eating
0.199219,0.51294,-0.820068,2.624511,135.1929,-2.502442,eating
0.228638,0.495117,-0.75,0.427246,202.94184,-2.01416,eating
0.556274,0.483643,-0.412964,14.09912,334.9609,-13.549804,eating
0.762818,0.547119,-0.227783,19.59229,359.558,-14.282224,eating
0.980713,0.565552,-0.028198,28.747552,297.8516,-28.38134,eating
0.982178,0.573608,0.093018,35.70557,249.9389,-36.6211,eating
0.900269,0.63623,0.248047,49.3164,186.1572,-41.74804,eating
0.86023,0.659302,0.25,55.17577,153.2593,-42.17528,eating
0.822754,0.672241,0.25061,57.86132,133.17876,-32.16554,eating
0.703003,0.694214,0.231445,58.04442,43.70116,-40.71044,eating
0.643433,0.720581,0.21875,60.24169,23.74267,-42.60253,eating
0.612305,0.731323,0.245483,61.58446,31.67724,-31.494136,eating
0.639038,0.740112,0.219727,64.0259,19.65332,-29.90722,eating
0.581177,0.696655,0.061157,62.74413,-4.333496,-23.193352,eating
0.629272,0.68396,0.043213,57.55614,-8.117676,-17.63916,eating
0.632812,0.685425,0.025879,49.13329,-19.40918,-9.33838,eating
0.589356,0.667725,0.018188,27.16064,-6.713866,-3.295898,eating
0.604614,0.671387,0.062866,18.859868,6.04248,-0.549316,eating
0.647949,0.66687,0.078735,14.892576,2.01416,-1.159668,eating
0.593262,0.661377,0.012085,-5.615234,-10.742184,-0.366211,eating
0.586792,0.684937,0.031128,-14.22119,-11.04736,2.441407,eating
0.607666,0.681396,0.007202,-28.747552,-35.94972,9.765626,eating
