Ax,Ay,Az,Gx,Gy,Gz,activity
-0.244385,0.142944,-0.184326,42.96874,12.268064,-5.554198,jogging
-0.406982,0.288696,-0.331787,65.4297,93.38376,154.35792,jogging
-0.392822,0.313843,-0.326538,46.75292,-12.634276,6.04248,jogging
-0.488892,0.317139,-0.315186,37.96388,-33.63038,24.29199,jogging
-0.588379,0.369019,-0.31543,28.44238,-49.74364,20.44677,jogging
-0.614746,0.426758,-0.337036,30.82275,-67.74904,21.3623,jogging
-0.636475,0.465454,-0.32544,28.747552,-91.12546,26.67236,jogging
-0.83313,0.608276,-0.288086,21.789548,-107.91014,31.372068,jogging
-1.58606,0.863281,-0.333374,34.24073,-47.11913,47.0581,jogging
-1.868652,0.915894,-0.393311,60.97411,56.33544,55.60302,jogging
-1.752076,0.808228,-0.384277,77.69776,135.2539,58.59374,jogging
-1.583862,0.668213,-0.394165,71.5332,153.2593,60.97411,jogging
-1.478272,0.57544,-0.441528,57.61718,137.6343,58.22753,jogging
-1.322022,0.505737,-0.468994,46.0205,110.9619,46.87499,jogging
-1.144898,0.482422,-0.475098,24.53613,75.56154,23.193352,jogging
-1.029786,0.49939,-0.469238,32.34864,82.88572,5.126952,jogging
-0.779053,0.399536,-0.451538,38.51319,91.91894,-7.202148,jogging
-0.562256,0.303589,-0.450317,31.98242,90.88134,-15.99121,jogging
-0.351685,0.299927,-0.454468,32.04346,84.65574,-29.357908,jogging
-0.181274,0.210449,-0.394531,33.44727,72.63184,-35.52246,jogging
-0.092041,0.145386,-0.331787,29.29687,65.91798,-40.83251,jogging
-0.014404,0.113281,-0.303955,23.681636,51.69677,-39.67286,jogging
-0.019287,0.079956,-0.299072,14.5874,31.06689,-35.21729,jogging
-0.029785,0.094727,-0.301514,8.178714,7.629394,-34.91212,jogging
-0.100952,0.14209,-0.306885,-0.976562,-14.526364,-31.92138,jogging
-0.235718,0.261597,-0.361816,-7.507323,-28.19824,-29.41894,jogging
-0.524048,0.341309,-0.472168,-8.72803,-29.235832,-29.96826,jogging
-0.893555,0.369629,-0.61377,4.882814,-1.831054,-44.12841,jogging
-0.982544,0.397705,-0.802612,4.455568,-8.911134,-46.08154,jogging
-1.021851,0.431885,-0.932739,-1.159668,-22.21679,-42.9077,jogging
-0.922119,0.49353,-1.017212,-2.319336,-74.95118,-26.24511,jogging
-1.106568,0.604858,-1.105713,1.770019,-44.18944,-11.352536,jogging
-1.019043,0.515747,-0.954956,16.357424,55.66406,-0.488281,jogging
-0.761353,0.404785,-0.829346,28.1372,63.47656,-1.159668,jogging
-0.205444,0.113525,-0.712769,6.28662,33.1421,-1.098633,jogging
-0.038452,0.101563,-0.581299,-10.68115,14.160152,-20.20263,jogging
-0.132446,0.085449,-0.482422,-33.75244,-7.812498,-23.193352,jogging
-0.306396,0.134644,-0.410522,-39.97804,7.568358,-22.03369,jogging
-0.464844,0.227417,-0.426758,-38.20802,13.244628,-16.845708,jogging
-0.967163,0.314209,-0.733276,-28.869624,43.15184,11.96289,jogging
-0.895996,0.283447,-0.845581,-10.0708,52.91747,22.949216,jogging
-1.119873,0.362915,-0.869507,-8.300784,-40.22216,25.14648,jogging
-1.202759,0.419434,-0.891724,10.80322,-35.46143,14.160152,jogging
-1.162476,0.447998,-0.839966,25.451652,-28.01513,-13.30566,jogging
-1.014282,0.42627,-0.773682,34.48487,-23.25439,-25.451652,jogging
-0.615723,0.261963,-0.510132,24.71923,-40.4663,-23.25439,jogging
-0.420654,0.2146,-0.436279,24.59716,-44.25048,-6.896972,jogging
-0.233398,0.134888,-0.365112,19.53125,-27.03857,13.610836,jogging
-0.183228,0.094727,-0.365967,10.620116,-9.46045,22.52197,jogging
-0.312988,0.133423,-0.478027,-19.16504,-9.521484,16.78467,jogging
-0.637695,0.257568,-0.682739,-22.88818,0.366211,0.549316,jogging
-0.871948,0.274536,-0.807862,-19.83643,8.789064,-13.97705,jogging
-1.124268,0.289185,-1.014648,-8.789064,36.49903,-16.90674,jogging
-0.939453,0.366089,-1.008667,-1.098633,-3.479003,-8.97217,jogging
-1.056396,0.463257,-0.97998,6.713866,-30.2124,-15.380856,jogging
-0.93457,0.415527,-0.841553,11.108396,-3.540038,-10.31494,jogging
-0.455566,0.226807,-0.545654,23.315424,-40.03907,-13.793944,jogging
-0.366333,0.150757,-0.415772,5.920409,-23.74267,-2.01416,jogging
-0.302002,0.121826,-0.331787,-3.234863,-13.610836,2.258301,jogging
-0.284912,0.126709,-0.312378,7.751464,17.15088,18.43262,jogging
-0.535034,0.27063,-0.468994,-3.906249,-1.708984,9.399414,jogging
-0.95398,0.349243,-0.671875,-0.427246,19.89746,7.507323,jogging
-1.144898,0.438232,-0.77002,6.958006,44.25048,11.840818,jogging
-1.179078,0.382446,-0.832764,-0.915527,-39.97804,15.380856,jogging
-1.321167,0.463623,-0.852539,-5.187988,-78.6133,4.699708,jogging
-1.146484,0.442261,-0.674194,11.2915,-45.89843,0.854492,jogging
-0.969238,0.387817,-0.573486,14.526364,-46.69188,0.427246,jogging
-0.796875,0.300171,-0.452393,13.000484,-63.65966,-3.173828,jogging
-0.553589,0.130249,-0.333496,16.723632,-43.21288,-2.563476,jogging
-0.404419,0.04834,-0.241577,19.83643,-20.87402,-2.868652,jogging
-0.240845,-0.028564,-0.161987,0.549316,1.953124,-8.178714,jogging
-0.319824,-0.012695,-0.23999,-5.493162,-1.037598,-11.474608,jogging
-0.790894,0.042725,-0.500122,-16.357424,35.64454,-12.45117,jogging
-1.126099,0.098145,-0.670166,-21.179192,51.39159,-9.765626,jogging
-1.359864,0.28064,-0.797241,-35.88868,13.671872,-26.9165,jogging
-1.45166,0.395264,-0.83728,-29.72412,-0.061035,-32.22657,jogging
-1.28479,0.42334,-0.729858,-3.417968,-16.29639,-8.117676,jogging
-1.085938,0.403442,-0.623779,2.441407,-9.399414,8.056642,jogging
-0.637207,0.224243,-0.376465,10.19287,-18.55469,17.7002,jogging
-0.47583,0.126099,-0.263184,12.3291,-21.85058,28.1372,jogging
-0.40686,0.097412,-0.218872,11.535644,-14.526364,34.11866,jogging
-0.240112,0.053223,-0.188477,2.075196,13.97705,37.96388,jogging
-0.32666,0.092163,-0.219116,-5.554198,23.071284,35.52246,jogging
-1.057496,0.297485,-0.547974,-30.2124,45.34911,4.150392,jogging
-1.217163,0.389282,-0.650635,-7.324218,77.63674,-1.525878,jogging
-0.880005,0.359009,-0.67395,-4.211426,11.596676,11.596676,jogging
-1.086426,0.492432,-0.775024,-12.3291,-46.56982,7.751464,jogging
-1.629639,0.68396,-0.889526,4.760742,19.89746,9.887696,jogging
-1.063232,0.410889,-0.679444,30.2124,112.67088,7.141112,jogging
-0.783203,0.330811,-0.577637,19.9585,68.3594,2.868652,jogging
-0.55249,0.253418,-0.431519,-4.272462,-30.15136,-9.887696,jogging
-0.444702,0.211304,-0.33667,-5.310058,-38.94044,-12.268064,jogging
-0.219482,0.10144,-0.231201,-12.390136,-30.94482,-21.423332,jogging
-0.148315,0.087402,-0.223267,-16.17432,-20.26367,-21.301268,jogging
-0.121338,0.179199,-0.374634,-23.49853,25.207516,-18.127448,jogging
-0.560669,0.244385,-0.662476,-29.05273,66.4673,-32.71485,jogging
-1.298096,0.297608,-1.160034,23.315424,172.6074,-68.23732,jogging
-0.97229,0.247192,-1.314087,15.563964,108.82566,-56.70165,jogging
-0.874512,0.387085,-1.238648,0.305176,-81.66502,-29.357908,jogging
-0.795654,0.426758,-1.067994,-3.723144,-108.45944,-30.51757,jogging
-0.466797,0.286865,-0.619995,1.037598,-85.69334,-28.991692,jogging
