Ax,Ay,Az,Gx,Gy,Gz,activity
0.334961,0.350098,-0.004272,-0.183105,-24.23095,-4.394532,phone interaction
0.675781,0.682129,0.001221,37.71973,88.562,146.4844,phone interaction
0.835449,0.722046,-0.037354,7.263182,-3.784179,9.643556,phone interaction
0.903564,0.695312,-0.077515,7.080076,-34.11866,4.150392,phone interaction
0.78833,0.711304,-0.085205,4.028321,-54.26024,-7.202148,phone interaction
0.654175,0.710938,-0.056274,4.821778,-61.58446,-7.324218,phone interaction
0.69104,0.716797,0.026489,6.40869,-64.33106,-2.502442,phone interaction
0.745117,0.678467,-0.131836,5.676268,-76.84326,-3.723144,phone interaction
0.641236,0.712646,-0.087402,5.859374,-77.81984,-1.647949,phone interaction
0.559814,0.706055,-0.075073,9.765626,-55.17577,-0.793457,phone interaction
0.545776,0.713379,-0.099976,12.268064,-26.67236,4.821778,phone interaction
0.636108,0.68335,-0.130615,13.244628,-10.620116,7.629394,phone interaction
0.681763,0.674683,-0.158569,11.474608,-12.45117,7.202148,phone interaction
0.638062,0.678345,-0.166504,9.643556,-10.375976,7.385252,phone interaction
0.675049,0.648438,-0.188477,3.540038,16.601568,5.859374,phone interaction
0.706909,0.681641,-0.157471,-0.305176,28.56445,2.075196,phone interaction
0.646973,0.68811,-0.130127,-0.488281,38.94044,-2.929687,phone interaction
0.664185,0.663452,-0.085693,-1.708984,55.72509,-6.469726,phone interaction
0.675659,0.628174,-0.099976,-5.065916,74.40186,-5.920409,phone interaction
0.692749,0.614868,-0.115234,-12.20703,88.86716,-7.629394,phone interaction
0.544312,0.654419,0.027222,-17.15088,110.9619,-3.906249,phone interaction
0.655762,0.596802,0.060425,-18.31055,121.64304,-0.732422,phone interaction
0.770874,0.632568,0.100098,-22.3999,98.08348,2.258301,phone interaction
0.777466,0.688721,0.144531,-17.82227,67.62696,6.103514,phone interaction
0.750366,0.669068,0.157105,-10.986324,48.52294,8.239746,phone interaction
0.729736,0.639038,0.153931,-5.065916,43.51806,10.31494,phone interaction
0.731445,0.633667,0.098145,-2.868652,44.9829,12.023924,phone interaction
0.765381,0.639404,0.019165,-6.713866,47.91259,12.57324,phone interaction
0.805054,0.639771,0.02832,-12.08496,39.24561,11.16943,phone interaction
0.801514,0.66687,0.100098,-15.686032,28.50341,11.657712,phone interaction
0.835449,0.710205,0.157227,-14.648436,21.11816,11.04736,phone interaction
0.771484,0.702759,0.122314,-5.493162,-12.878416,6.16455,phone interaction
0.777832,0.683106,0.093262,-6.469726,-20.75195,5.004884,phone interaction
0.788452,0.6875,0.13623,4.089356,-36.25489,1.647949,phone interaction
0.675659,0.659424,0.110352,6.53076,-25.329584,0.427246,phone interaction
0.761597,0.67627,0.118652,7.202148,-9.155274,1.953124,phone interaction
0.782715,0.677124,0.089478,12.57324,-45.71532,-2.441407,phone interaction
0.709106,0.684937,0.055908,13.549804,-53.34472,-2.01416,phone interaction
0.738404,0.656738,0.02832,15.808104,-24.23095,-6.958006,phone interaction
0.774048,0.60498,-0.031982,7.507323,-25.573724,-7.324218,phone interaction
0.758545,0.671631,-0.017822,4.333496,-30.63964,-2.197266,phone interaction
0.735474,0.648438,-0.045044,5.126952,-23.86474,-5.615234,phone interaction
0.720703,0.664795,-0.035889,4.760742,-16.96778,-3.417968,phone interaction
0.775635,0.640137,-0.120361,8.178714,-18.43262,-0.305176,phone interaction
0.716675,0.632812,-0.147339,-2.929687,-21.11816,1.831054,phone interaction
0.729248,0.664795,-0.100464,-6.896972,2.258301,-0.549316,phone interaction
0.723755,0.709839,-0.081055,-3.173828,-2.075196,-6.469726,phone interaction
0.78711,0.734009,-0.072144,-4.150392,-1.403808,-5.493162,phone interaction
0.723877,0.711304,-0.10022,2.868652,-21.3623,-14.038084,phone interaction
0.704102,0.755005,-0.109253,5.065916,-25.8789,-10.864256,phone interaction
0.853394,0.75293,-0.261475,2.380371,-42.41942,-13.06152,phone interaction
0.61145,0.739502,-0.303711,-12.268064,-87.28026,-15.441892,phone interaction
0.559448,0.854736,-0.195313,-17.45606,-54.13818,-9.033204,phone interaction
0.65271,0.768066,-0.11023,-6.469726,-23.559568,-14.892576,phone interaction
0.702026,0.685791,-0.09082,-2.380371,-13.18359,-12.81738,phone interaction
0.654907,0.645264,-0.102539,-0.366211,-14.34326,-11.2915,phone interaction
0.552734,0.691528,-0.051392,-0.549316,8.361816,-7.507323,phone interaction
0.730347,0.638916,-0.158691,-4.455568,-1.953124,-6.04248,phone interaction
0.672119,0.6698,-0.189575,-9.33838,-18.127448,-5.310058,phone interaction
