Ax,Ay,Az,Gx,Gy,Gz,activity
-0.186401,0.040161,-0.46936,2.01416,-1.159668,1.647949,pick and place
-0.349609,0.072266,-0.880249,34.79004,77.51466,137.6343,pick and place
-0.372437,0.083618,-0.932251,0.366211,-0.793457,15.31982,pick and place
-0.377686,0.085815,-0.925659,-0.671386,-2.319336,12.93945,pick and place
-0.387573,0.095459,-0.911499,0.366211,-7.812498,0.915527,pick and place
-0.409424,0.101807,-0.91919,0.183105,-5.249022,1.647949,pick and place
-0.378296,0.096558,-0.92627,-0.915527,-0.549316,4.699708,pick and place
-0.382813,0.101807,-0.940064,-2.685546,5.187988,0.915527,pick and place
-0.333618,0.08252,-0.941406,-2.075196,3.540038,0.976562,pick and place
-0.348633,0.082275,-0.932129,-2.563476,-1.037598,3.417968,pick and place
-0.368896,0.08374,-0.938477,-2.685546,-0.061035,3.662109,pick and place
-0.371948,0.095093,-0.934326,-2.01416,1.281738,5.432128,pick and place
-0.360108,0.098633,-0.927002,-1.098633,2.380371,7.019042,pick and place
-0.344971,0.110718,-0.930664,-0.610352,2.441407,8.72803,pick and place
-0.321167,0.109375,-0.924194,3.723144,-14.09912,8.911134,pick and place
-0.418945,0.088135,-0.903076,2.929687,-15.014646,8.056642,pick and place
-0.427734,0.089722,-0.923218,-0.183105,-5.798338,7.93457,pick and place
-0.411621,0.088013,-0.920166,-1.831054,-1.464844,4.211426,pick and place
-0.369385,0.070313,-0.905762,-4.394532,-1.037598,4.333496,pick and place
-0.359497,0.076538,-0.915894,-8.056642,-0.427246,6.347656,pick and place
-0.273438,0.081421,-0.983765,-6.225584,-17.08985,4.089356,pick and place
-0.377319,0.064331,-0.909668,-8.361816,-30.63964,8.97217,pick and place
-0.442017,0.124268,-0.915528,-14.892576,-25.26855,16.113284,pick and place
-0.453491,0.18103,-0.929688,-14.282224,-19.77539,19.59229,pick and place
-0.561157,0.223511,-0.982788,-9.887696,-10.80322,19.40918,pick and place
-0.555542,0.252075,-0.998169,-3.845214,5.126952,13.97705,pick and place
-0.559082,0.285522,-1.001831,7.873534,16.54053,11.41357,pick and place
-0.511108,0.273193,-1.031982,24.71923,44.86083,-12.3291,pick and place
-0.452393,0.203735,-1.028809,33.99659,44.18944,-34.97315,pick and place
-0.436279,0.13562,-1.113404,41.44286,16.235352,-26.36718,pick and place
-0.489502,0.036011,-1.097534,67.62696,-10.55908,-29.54101,pick and place
-0.453613,0.028076,-1.02478,71.59424,2.01416,-32.04346,pick and place
-0.410034,0.025024,-1.021484,80.9326,7.873534,-38.08594,pick and place
-0.375122,-0.140259,-0.867798,84.2285,9.887696,-44.25048,pick and place
-0.347412,-0.190064,-0.839722,80.7495,11.108396,-44.86083,pick and place
-0.294067,-0.313355,-0.842407,62.98827,-14.892576,-56.64062,pick and place
-0.231079,-0.358887,-0.806152,49.01122,-38.39112,-60.48583,pick and place
-0.348633,-0.478027,-0.643188,33.1421,-111.145,-71.59424,pick and place
-0.449829,-0.528687,-0.576172,17.39502,-124.02342,-73.85254,pick and place
-0.508423,-0.583862,-0.541016,-11.901852,-116.57712,-78.00294,pick and place
-0.580322,-0.570435,-0.525513,-41.74804,-101.01316,-68.9087,pick and place
-0.586914,-0.560913,-0.537964,-59.75341,-81.17674,-64.33106,pick and place
-0.622559,-0.425293,-0.630493,-70.9839,-30.63964,-56.2744,pick and place
-0.60669,-0.373169,-0.707886,-65.67384,-1.831054,-51.45262,pick and place
-0.444092,-0.355347,-0.734009,-55.11474,35.52246,-44.43358,pick and place
-0.319824,-0.338013,-0.760498,-53.22264,30.57861,-32.65382,pick and place
-0.377808,-0.262695,-0.881592,-42.5415,-5.676268,-11.657712,pick and place
-0.414063,-0.258667,-0.897705,-37.59766,-9.70459,-8.72803,pick and place
-0.47583,-0.283203,-0.871948,-23.071284,-18.615724,-11.16943,pick and place
-0.457153,-0.296387,-0.872192,-23.74267,-12.08496,-9.277344,pick and place
-0.463135,-0.309204,-0.867554,-19.16504,-1.098633,-6.53076,pick and place
-0.47583,-0.286011,-0.865967,-17.7002,2.197266,-6.225584,pick and place
-0.415039,-0.286133,-0.852295,-19.34815,0.061035,-4.760742,pick and place
-0.462158,-0.268433,-0.864258,-15.502928,-2.868652,-5.615234,pick and place
-0.437378,-0.253418,-0.833496,-16.17432,-14.22119,-2.01416,pick and place
-0.517578,-0.256958,-0.832764,-13.916012,-14.09912,-3.479003,pick and place
-0.479492,-0.265503,-0.823486,-15.258788,-2.075196,-2.563476,pick and place
-0.511719,-0.242432,-0.852173,-12.08496,-1.098633,-2.258301,pick and place
-0.516358,-0.259766,-0.848022,-4.638672,11.96289,-6.04248,pick and place
-0.471924,-0.276367,-0.850708,-5.737304,17.76123,-6.347656,pick and place
-0.44751,-0.238159,-0.87207,-8.422854,18.005376,-6.835936,pick and place
-0.355469,-0.244507,-0.836914,-3.906249,13.366696,-3.723144,pick and place
-0.438355,-0.249878,-0.8396,-5.249022,4.272462,-2.624511,pick and place
-0.418579,-0.20459,-0.912232,-4.760742,11.04736,0.183105,pick and place
-0.525269,-0.206909,-0.93103,-1.647949,30.70068,-4.882814,pick and place
-0.400269,-0.24707,-0.87439,-0.610352,36.37696,-6.835936,pick and place
-0.282349,-0.250855,-0.901856,-2.502442,23.559568,-2.929687,pick and place
-0.288208,-0.290772,-0.907959,-1.098633,16.78467,0.488281,pick and place
-0.367066,-0.292236,-0.872681,-0.488281,9.82666,-0.915527,pick and place
-0.379028,-0.282593,-0.9021,-4.211426,8.60596,0.183105,pick and place
-0.291382,-0.278442,-0.863159,-12.023924,8.60596,-5.920409,pick and place
-0.320313,-0.202271,-0.921265,-10.498044,-7.995604,-3.356933,pick and place
-0.237305,-0.260864,-0.88855,-15.930172,-12.08496,-4.821778,pick and place
-0.331543,-0.130127,-0.973877,-0.183105,-2.075196,-1.89209,pick and place
-0.292847,-0.099976,-0.907593,11.840818,-21.11816,4.394532,pick and place
-0.361694,-0.133301,-0.921631,16.6626,-22.64404,3.601074,pick and place
-0.40918,-0.126587,-0.952881,23.49853,-10.620116,7.812498,pick and place
-0.407471,-0.146973,-0.956421,28.68652,5.615234,6.469726,pick and place
-0.270508,-0.22522,-0.90686,35.21729,-7.93457,19.10401,pick and place
-0.390381,-0.229614,-0.86145,41.07665,-26.18408,22.33886,pick and place
-0.451782,-0.245239,-0.85376,44.25048,-24.16992,22.82714,pick and place
-0.44397,-0.29419,-0.851318,45.34911,-9.94873,24.04785,pick and place
-0.41333,-0.349243,-0.819458,45.53222,-12.634276,25.51269,pick and place
-0.475952,-0.377075,-0.774292,46.08154,-13.244628,30.94482,pick and place
-0.474732,-0.410645,-0.75647,44.12841,-8.72803,32.83692,pick and place
-0.480225,-0.503906,-0.741089,39.55078,1.220704,37.8418,pick and place
-0.471558,-0.486084,-0.698486,37.17042,5.187988,43.02978,pick and place
-0.465576,-0.488037,-0.640137,27.16064,12.268064,53.71093,pick and place
-0.501831,-0.460205,-0.657593,18.9209,17.57813,60.18066,pick and place
-0.570923,-0.406738,-0.67041,11.352536,20.50781,62.43896,pick and place
-0.586304,-0.401489,-0.681274,7.324218,23.49853,62.92724,pick and place
-0.495728,-0.373657,-0.695435,0.549316,12.512204,65.7959,pick and place
-0.485474,-0.371582,-0.692749,-3.295898,-6.103514,68.7256,pick and place
-0.582154,-0.326294,-0.674072,-8.544924,-29.66308,73.66944,pick and place
-0.666992,-0.30957,-0.675781,-13.97705,-25.573724,73.97462,pick and place
-0.70459,-0.190796,-0.677979,-24.71923,-3.112792,70.6177,pick and place
-0.741821,-0.128662,-0.68457,-28.68652,3.295898,69.64112,pick and place
-0.768555,-0.039917,-0.759522,-30.57861,14.282224,57.312,pick and place
-0.776001,-0.016724,-0.761719,-31.86035,19.28711,49.98778,pick and place
-0.744629,0.064453,-0.786987,-36.98731,29.54101,32.65382,pick and place
-0.717652,0.096436,-0.81311,-34.42384,30.63964,27.099608,pick and place
-0.615967,0.122681,-0.84436,-26.42822,29.479976,18.859868,pick and place
-0.622437,0.141602,-0.846802,-19.83643,19.53125,14.892576,pick and place
-0.605713,0.143188,-0.83252,-16.723632,20.62988,8.422854,pick and place
-0.581177,0.152466,-0.854614,-15.930172,19.34815,7.263182,pick and place
-0.545166,0.15979,-0.838379,-11.657712,17.51709,2.868652,pick and place
-0.51709,0.156982,-0.858887,-12.20703,16.601568,3.540038,pick and place
-0.51416,0.154297,-0.857422,-10.375976,8.666994,0.610352,pick and place
-0.52417,0.155884,-0.872192,-12.57324,12.268064,1.953124,pick and place
-0.452881,0.183594,-0.868408,-12.45117,8.911134,-1.098633,pick and place
-0.535156,0.212524,-0.88623,-7.019042,-9.46045,0.427246,pick and place
-0.542358,0.212036,-0.893188,-6.225584,-2.685546,0.183105,pick and place
-0.495606,0.154907,-0.87439,-1.037598,3.540038,-1.403808,pick and place
-0.464111,0.161377,-0.853516,-2.746581,2.258301,0.915527,pick and place
-0.516846,0.192627,-0.853516,-1.403808,0.793457,0.854492,pick and place
-0.534302,0.179199,-0.847656,-4.211426,10.253904,1.770019,pick and place
-0.484009,0.201416,-0.847534,-0.854492,8.117676,0,pick and place
-0.497559,0.188599,-0.855835,-1.708984,11.04736,-0.610352,pick and place
-0.519654,0.182495,-0.852051,-1.464844,10.986324,-2.624511,pick and place
-0.438232,0.178589,-0.869873,0,15.624996,-1.342773,pick and place
-0.4552,0.19458,-0.888672,-2.685546,12.634276,0.854492,pick and place
-0.47583,0.197876,-0.929688,4.882814,-2.197266,0.427246,pick and place
-0.462891,0.197632,-0.913574,5.615234,-3.723144,-0.671386,pick and place
-0.445557,0.219238,-0.885986,4.882814,-3.662109,-7.385252,pick and place
-0.494263,0.192749,-0.910156,4.638672,0.610352,-5.065916,pick and place
-0.490479,0.211548,-0.925415,8.056642,-0.366211,-3.234863,pick and place
-0.510132,0.175781,-0.943237,12.08496,2.197266,-10.620116,pick and place
-0.493164,0.156738,-0.960571,14.34326,5.981444,-12.268064,pick and place
-0.415161,0.153809,-0.939087,23.559568,5.859374,-18.31055,pick and place
-0.41919,0.129639,-0.92749,27.83203,-10.498044,-18.493652,pick and place
-0.489136,0.09668,-0.906006,28.19824,-8.239746,-22.21679,pick and place
-0.486206,0.071655,-0.906006,25.26855,-3.601074,-24.16992,pick and place
-0.442017,0.064331,-0.882812,26.67236,-19.40918,-25.63476,pick and place
-0.487671,0.010742,-0.860474,26.18408,-30.27343,-27.465816,pick and place
-0.52771,-0.021484,-0.836304,23.98681,-21.85058,-28.44238,pick and place
-0.517944,-0.053955,-0.834473,19.9585,-18.06641,-26.855464,pick and place
-0.524292,-0.077881,-0.833008,16.235352,-8.178714,-24.29199,pick and place
-0.52063,-0.078613,-0.837402,14.282224,-10.92529,-22.15576,pick and place
-0.562866,-0.080566,-0.829956,12.268064,-16.357424,-27.709956,pick and place
-0.566895,-0.071289,-0.817749,14.95361,-19.89746,-29.602044,pick and place
-0.608643,-0.168945,-0.836792,18.06641,-27.28271,-39.67286,pick and place
-0.618896,-0.213989,-0.808716,18.18848,-35.33936,-44.06738,pick and place
-0.629395,-0.294067,-0.705322,14.160152,-54.8706,-51.81884,pick and place
-0.696167,-0.307495,-0.679077,5.859374,-57.18993,-56.82372,pick and place
-0.667358,-0.362183,-0.684204,-1.037598,-44.00634,-60.30272,pick and place
-0.645386,-0.373291,-0.653564,-2.868652,-46.81396,-60.18066,pick and place
-0.671143,-0.431763,-0.597534,-6.225584,-48.0957,-62.80516,pick and place
-0.686768,-0.454102,-0.580811,-13.916012,-41.99218,-64.14796,pick and place
-0.646118,-0.460083,-0.56189,-29.41894,-17.02881,-61.76757,pick and place
-0.61792,-0.413818,-0.581787,-35.46143,-0.488281,-52.24608,pick and place
-0.589234,-0.416382,-0.607544,-39.0625,10.742184,-46.50878,pick and place
-0.557862,-0.39502,-0.668823,-38.57422,15.686032,-35.33936,pick and place
-0.523071,-0.389038,-0.692139,-35.52246,18.615724,-31.494136,pick and place
-0.460693,-0.377197,-0.689209,-37.59766,-10.986324,-21.789548,pick and place
-0.559448,-0.396729,-0.697998,-38.81836,-24.16992,-19.77539,pick and place
-0.602539,-0.36731,-0.72229,-41.687,-8.239746,-20.99609,pick and place
-0.57019,-0.369507,-0.722412,-43.64012,-5.798338,-21.301268,pick and place
-0.607666,-0.311279,-0.754883,-43.70116,-2.746581,-18.493652,pick and place
-0.570801,-0.296753,-0.76294,-43.82324,8.544924,-19.9585,pick and place
-0.488281,-0.232666,-0.812012,-39.97804,0.061035,-14.160152,pick and place
-0.5,-0.27478,-0.828125,-38.02491,-1.89209,-12.45117,pick and place
-0.534058,-0.181152,-0.826416,-34.42384,8.60596,-3.479003,pick and place
-0.508179,-0.201538,-0.843384,-33.87452,13.000484,-2.258301,pick and place
-0.564697,-0.074097,-0.945679,-22.52197,14.70947,2.685546,pick and place
-0.495361,-0.136841,-0.906006,-14.282224,19.47022,-1.525878,pick and place
-0.319458,-0.056152,-0.931396,-1.037598,2.624511,5.310058,pick and place
-0.492798,-0.142578,-0.796997,10.498044,-19.40918,2.807617,pick and place
-0.492676,-0.213379,-0.863648,3.051757,6.958006,1.647949,pick and place
-0.442261,-0.175903,-0.869263,0.976562,0.915527,6.28662,pick and place
-0.530518,-0.195313,-0.824829,-1.098633,-0.305176,1.89209,pick and place
-0.515015,-0.217285,-0.858643,0.793457,2.197266,2.075196,pick and place
-0.516602,-0.223022,-0.855103,1.220704,3.784179,2.563476,pick and place
-0.509644,-0.204102,-0.84314,-0.671386,2.868652,0.488281,pick and place
-0.501953,-0.202148,-0.839356,-0.244141,4.760742,-0.305176,pick and place
-0.486694,-0.210327,-0.85669,-1.342773,7.080076,-0.183105,pick and place
-0.490967,-0.211792,-0.849365,-0.244141,7.202148,-0.732422,pick and place
-0.514526,-0.213745,-0.865112,0.061035,14.038084,-1.953124,pick and place
-0.470947,-0.206665,-0.85498,-0.305176,16.113284,-1.708984,pick and place
-0.484375,-0.206421,-0.880249,1.220704,18.127448,-0.854492,pick and place
-0.474854,-0.225342,-0.890137,0.610352,21.301268,-2.319336,pick and place
-0.430298,-0.238281,-0.87793,-0.854492,20.935052,-4.150392,pick and place
-0.408691,-0.233032,-0.86145,-1.647949,17.15088,-2.868652,pick and place
-0.391235,-0.232666,-0.855103,-7.263182,18.43262,-4.455568,pick and place
-0.405884,-0.186279,-0.903809,-8.117676,18.493652,-4.211426,pick and place
-0.217651,-0.170288,-0.897583,-9.399414,0,-3.112792,pick and place
-0.229004,-0.147583,-0.885986,-9.521484,-21.11816,0.366211,pick and place
