Ax,Ay,Az,Gx,Gy,Gz,activity
0.288818,-0.241943,-0.329346,-0.305176,12.145992,-0.183105,sit-stand-sit
0.590454,-0.454102,-0.608887,29.41894,113.7695,157.16552,sit-stand-sit
0.633423,-0.468994,-0.630737,-4.272462,33.56934,15.624996,sit-stand-sit
0.651612,-0.452393,-0.611694,-4.272462,28.01513,13.427732,sit-stand-sit
0.661865,-0.428833,-0.612793,-2.441407,21.057124,2.319336,sit-stand-sit
0.618774,-0.433838,-0.591675,3.051757,21.423332,8.361816,sit-stand-sit
0.612061,-0.463745,-0.617432,5.981444,23.01025,0.976562,sit-stand-sit
0.682617,-0.488403,-0.641968,3.173828,20.56884,-1.037598,sit-stand-sit
0.708008,-0.481812,-0.622314,0.732422,22.88818,-0.366211,sit-stand-sit
0.753052,-0.472046,-0.56604,0.915527,16.90674,-1.037598,sit-stand-sit
0.739136,-0.444336,-0.527344,7.141112,4.455568,-1.953124,sit-stand-sit
0.720459,-0.442383,-0.533814,12.08496,-7.324218,-1.525878,sit-stand-sit
0.696533,-0.428711,-0.563843,17.45606,-20.69091,-0.488281,sit-stand-sit
0.697998,-0.462402,-0.569458,19.59229,-17.27295,-2.990722,sit-stand-sit
0.697876,-0.466431,-0.638428,16.113284,-6.835936,-5.920409,sit-stand-sit
0.64856,-0.454956,-0.644165,12.145992,0.549316,-7.629394,sit-stand-sit
0.609253,-0.446167,-0.600952,9.521484,12.390136,-8.361816,sit-stand-sit
0.620972,-0.434692,-0.59729,6.103514,22.03369,-8.72803,sit-stand-sit
0.657715,-0.425537,-0.59729,4.394532,21.789548,-7.629394,sit-stand-sit
0.618896,-0.40686,-0.611816,1.586914,19.59229,-1.831054,sit-stand-sit
0.598999,-0.399292,-0.587158,-1.098633,23.6206,3.051757,sit-stand-sit
0.650635,-0.409546,-0.583862,-7.263182,29.113768,8.300784,sit-stand-sit
0.672119,-0.406372,-0.580444,-10.0708,26.24511,13.000484,sit-stand-sit
0.651978,-0.414917,-0.562378,-10.986324,25.39062,17.76123,sit-stand-sit
0.639648,-0.423828,-0.541748,-10.19287,29.357908,21.179192,sit-stand-sit
0.673828,-0.452637,-0.532104,-9.155274,32.40968,22.46093,sit-stand-sit
0.708496,-0.465942,-0.527954,-7.019042,27.9541,23.98681,sit-stand-sit
0.690674,-0.506104,-0.518677,-2.319336,22.46093,27.16064,sit-stand-sit
0.67981,-0.535889,-0.523316,0.610352,23.681636,28.93066,sit-stand-sit
0.709595,-0.569214,-0.491333,6.958006,27.40478,30.02929,sit-stand-sit
0.775635,-0.588501,-0.419312,21.11816,16.479492,31.92138,sit-stand-sit
0.75586,-0.566284,-0.414551,29.1748,2.563476,32.04346,sit-stand-sit
0.770142,-0.57959,-0.420288,37.10938,2.197266,30.33447,sit-stand-sit
0.791138,-0.640015,-0.428833,44.18944,-9.46045,27.343748,sit-stand-sit
0.744019,-0.702026,-0.426148,44.86083,-17.21192,26.18408,sit-stand-sit
0.597656,-0.765869,-0.371704,46.44774,-17.7002,32.65382,sit-stand-sit
0.578247,-0.812378,-0.401611,45.53222,-13.06152,35.88868,sit-stand-sit
0.671997,-0.968262,-0.431152,37.23145,21.72851,52.49022,sit-stand-sit
0.750122,-0.985962,-0.413696,26.06201,14.160152,53.46678,sit-stand-sit
0.459717,-0.925904,-0.301514,23.92578,23.86474,57.25096,sit-stand-sit
0.387329,-0.918457,-0.283447,25.39062,44.00634,59.44824,sit-stand-sit
0.511475,-0.976685,-0.271606,20.38574,47.60741,60.66894,sit-stand-sit
0.446411,-0.933594,-0.229126,16.113284,36.68214,60.72997,sit-stand-sit
0.338867,-0.890381,-0.172119,15.563964,43.70116,54.50438,sit-stand-sit
0.32666,-0.907837,-0.163818,14.282224,49.07226,49.3164,sit-stand-sit
0.328613,-0.918701,-0.139038,11.108396,48.95018,46.56982,sit-stand-sit
0.301392,-0.955444,-0.103394,4.028321,45.59325,37.90284,sit-stand-sit
0.296753,-0.952881,-0.091064,1.647949,39.97804,33.08106,sit-stand-sit
0.278442,-0.922119,-0.088379,0.976562,20.87402,21.48437,sit-stand-sit
0.26648,-0.911499,-0.086426,1.770019,12.3291,15.19775,sit-stand-sit
0.246826,-0.904785,-0.08728,2.380371,6.958006,6.713866,sit-stand-sit
0.247681,-0.890503,-0.09082,0.549316,6.896972,3.356933,sit-stand-sit
0.247437,-0.897827,-0.085205,-1.647949,6.40869,0.183105,sit-stand-sit
0.231812,-0.893921,-0.076904,-6.225584,6.225584,-6.16455,sit-stand-sit
0.230713,-0.885864,-0.081787,-7.873534,7.995604,-8.056642,sit-stand-sit
0.223267,-0.897217,-0.080811,-9.643556,13.18359,-11.108396,sit-stand-sit
0.217651,-0.917114,-0.073242,-11.901852,18.493652,-12.93945,sit-stand-sit
