Ax,Ay,Az,Gx,Gy,Gz,activity
-0.336304,0.037842,-0.375732,-1.281738,-1.770019,-0.305176,sitting
-0.645386,0.090576,-0.697266,32.1045,82.64158,174.3774,sitting
-0.680908,0.104004,-0.738526,0.488281,7.507323,13.000484,sitting
-0.638916,0.087891,-0.7594,1.342773,12.93945,11.901852,sitting
-0.593262,0.064941,-0.785522,2.136231,8.60596,-0.183105,sitting
-0.610596,0.05896,-0.808106,3.784179,-2.868652,0.244141,sitting
-0.656616,0.064087,-0.795288,3.967285,-8.544924,0.854492,sitting
-0.655396,0.099487,-0.733398,-0.366211,-0.488281,2.868652,sitting
-0.640625,0.127808,-0.732056,-1.525878,3.417968,1.342773,sitting
-0.640259,0.133423,-0.769654,-0.183105,7.141112,-0.488281,sitting
-0.619751,0.113403,-0.798706,0,8.544924,-1.220704,sitting
-0.598145,0.085571,-0.790528,0.305176,1.220704,-1.647949,sitting
-0.620606,0.055298,-0.766236,0.915527,-8.789064,-1.708984,sitting
-0.67334,0.048828,-0.745728,-1.098633,-9.94873,-1.159668,sitting
-0.702637,0.079102,-0.754028,-3.601074,1.647949,-0.488281,sitting
-0.646118,0.084595,-0.756104,-1.708984,2.807617,-0.671386,sitting
-0.632202,0.081543,-0.756104,1.098633,-3.356933,-1.342773,sitting
-0.664307,0.07898,-0.754395,2.258301,-5.126952,-0.854492,sitting
-0.681152,0.086548,-0.75586,0.976562,1.098633,0.915527,sitting
-0.654663,0.101685,-0.765869,0.305176,7.568358,2.136231,sitting
-0.616577,0.107056,-0.779419,0.976562,8.117676,2.01416,sitting
-0.59729,0.103149,-0.791504,2.258301,1.037598,-0.183105,sitting
-0.612549,0.089111,-0.779419,2.746581,-4.028321,-1.586914,sitting
-0.634522,0.075684,-0.766846,2.197266,-6.53076,-2.258301,sitting
-0.65625,0.067749,-0.76001,1.037598,-6.16455,-2.01416,sitting
-0.666138,0.066772,-0.758423,-0.488281,-3.784179,-1.403808,sitting
-0.661865,0.074707,-0.7594,-1.220704,-1.708984,-0.793457,sitting
-0.654541,0.081055,-0.759278,-0.610352,-1.586914,-0.610352,sitting
-0.658936,0.082764,-0.759644,-0.366211,-1.037598,-0.427246,sitting
-0.636108,0.090698,-0.765991,-0.305176,1.647949,-0.061035,sitting
-0.63269,0.093018,-0.769776,0.366211,0,-0.488281,sitting
-0.655518,0.076294,-0.762695,0.793457,-2.136231,-0.732422,sitting
-0.6604,0.075073,-0.759155,0,-0.549316,-0.183105,sitting
-0.64978,0.081909,-0.761108,-0.427246,0.610352,0.061035,sitting
-0.642822,0.086182,-0.765625,0.12207,0.366211,-0.183105,sitting
-0.641846,0.082642,-0.765869,0.061035,-0.12207,-0.366211,sitting
-0.650391,0.078857,-0.763428,-0.488281,-0.427246,-0.244141,sitting
-0.647827,0.083252,-0.76294,-0.427246,-0.183105,-0.244141,sitting
-0.648071,0.085083,-0.765503,-0.183105,-0.061035,-0.183105,sitting
-0.642822,0.084351,-0.765381,-0.244141,-0.488281,-0.244141,sitting
-0.647827,0.083496,-0.76416,-0.061035,-0.976562,-0.366211,sitting
-0.64917,0.080811,-0.764648,-0.244141,0.12207,-0.183105,sitting
-0.646118,0.081787,-0.764404,-0.244141,0.061035,-0.061035,sitting
-0.643311,0.085327,-0.76648,-0.061035,-0.244141,-0.244141,sitting
-0.644776,0.083862,-0.766602,0.12207,-0.366211,-0.366211,sitting
-0.644776,0.082886,-0.765869,-0.183105,-0.488281,-0.183105,sitting
-0.64502,0.08313,-0.764038,-0.244141,-0.549316,-0.366211,sitting
-0.64917,0.083374,-0.765747,0,-0.671386,-0.366211,sitting
-0.645752,0.084229,-0.763306,-0.305176,-0.183105,-0.244141,sitting
-0.647705,0.083862,-0.766846,0.183105,-0.488281,-0.427246,sitting
-0.646973,0.0802,-0.765503,-0.061035,-0.427246,-0.183105,sitting
-0.649292,0.08252,-0.764404,0.061035,-0.183105,-0.183105,sitting
-0.642212,0.084106,-0.765991,-0.183105,-0.12207,-0.244141,sitting
-0.641724,0.085205,-0.765503,-0.12207,-0.549316,-0.366211,sitting
-0.647461,0.081543,-0.765137,0.183105,-0.610352,-0.488281,sitting
-0.647827,0.079956,-0.764282,-0.061035,-0.366211,-0.366211,sitting
-0.646729,0.085571,-0.765259,-0.366211,-0.305176,-0.183105,sitting
-0.645996,0.08606,-0.767578,-0.183105,-0.12207,-0.244141,sitting
-0.641846,0.083862,-0.766968,-0.183105,-0.427246,-0.183105,sitting
-0.649048,0.083008,-0.76355,-0.061035,-0.610352,-0.366211,sitting
-0.644287,0.082153,-0.765381,0,-0.061035,-0.244141,sitting
-0.643799,0.081543,-0.763916,-0.183105,-0.366211,-0.183105,sitting
-0.644898,0.083984,-0.765869,-0.305176,-0.305176,-0.183105,sitting
-0.643311,0.085205,-0.766113,-0.061035,-0.305176,-0.305176,sitting
-0.642944,0.082275,-0.76416,0,-0.671386,-0.366211,sitting
-0.645508,0.082886,-0.767578,-0.061035,-0.488281,-0.366211,sitting
-0.64624,0.084106,-0.765137,0.061035,-0.854492,-0.366211,sitting
-0.643677,0.084839,-0.764893,-0.061035,-0.488281,-0.366211,sitting
-0.647095,0.083984,-0.768555,0.244141,-0.793457,-0.488281,sitting
-0.648926,0.0802,-0.764526,-0.061035,-0.610352,-0.244141,sitting
-0.647217,0.08313,-0.763306,-0.427246,0.12207,-0.12207,sitting
-0.643921,0.085938,-0.768433,-0.244141,-0.244141,-0.183105,sitting
-0.642456,0.084229,-0.763306,0.061035,-0.732422,-0.366211,sitting
-0.648071,0.082886,-0.763306,0.183105,-0.915527,-0.427246,sitting
-0.648926,0.079956,-0.767334,-0.061035,-0.366211,-0.244141,sitting
-0.6427,0.081299,-0.763672,-0.183105,-0.244141,-0.305176,sitting
-0.646606,0.084473,-0.768311,-0.12207,-0.244141,-0.244141,sitting
-0.646118,0.086304,-0.76648,-0.183105,-0.610352,-0.305176,sitting
-0.647217,0.081787,-0.763916,-0.244141,-0.671386,-0.244141,sitting
-0.647217,0.082397,-0.762818,-0.244141,-0.610352,-0.244141,sitting
-0.644165,0.085815,-0.765991,-0.061035,-0.244141,-0.244141,sitting
-0.64502,0.085083,-0.765137,0.183105,-0.671386,-0.366211,sitting
-0.645996,0.082153,-0.764648,0.183105,-0.366211,-0.366211,sitting
-0.648926,0.08252,-0.765137,-0.061035,-0.732422,-0.305176,sitting
-0.649414,0.082764,-0.766113,-0.183105,-0.305176,-0.244141,sitting
-0.64563,0.084595,-0.765137,0,-0.488281,-0.244141,sitting
-0.64563,0.085571,-0.763672,-0.244141,-0.12207,-0.183105,sitting
-0.646362,0.082764,-0.764404,0.305176,-1.281738,-0.793457,sitting
-0.649902,0.081055,-0.763794,0.366211,-1.159668,-0.671386,sitting
-0.64978,0.081055,-0.764893,-0.183105,0,-0.12207,sitting
-0.646118,0.086548,-0.765625,-0.12207,-0.244141,-0.244141,sitting
-0.64209,0.085327,-0.765747,0.305176,-1.037598,-0.610352,sitting
-0.644776,0.08252,-0.765015,0.488281,-1.403808,-0.732422,sitting
-0.653198,0.07959,-0.763794,0.549316,-0.854492,-0.488281,sitting
-0.64624,0.079834,-0.764038,-0.305176,-0.244141,-0.183105,sitting
-0.645142,0.085205,-0.765503,-0.183105,-0.854492,-0.305176,sitting
-0.644776,0.083862,-0.763184,0.183105,-0.732422,-0.366211,sitting
-0.649902,0.081665,-0.764526,0.12207,-1.037598,-0.305176,sitting
-0.645386,0.083862,-0.76355,-0.183105,-0.12207,-0.244141,sitting
-0.64502,0.074463,-0.764771,0.061035,-0.976562,-0.12207,sitting
-0.655884,0.088013,-0.765625,0,0.061035,0.854492,sitting
-0.651245,0.084106,-0.752686,2.807617,-0.976562,-1.586914,sitting
-0.661743,0.067871,-0.759278,1.708984,2.746581,-0.854492,sitting
-0.641968,0.062744,-0.771729,-1.037598,3.479003,1.464844,sitting
-0.645386,0.087646,-0.769776,-1.464844,2.929687,1.464844,sitting
-0.630493,0.094727,-0.774536,1.159668,-1.342773,-0.488281,sitting
-0.641968,0.085938,-0.765503,1.647949,-1.098633,-0.427246,sitting
-0.643433,0.073486,-0.772705,1.037598,1.586914,0.061035,sitting
-0.640869,0.068237,-0.773316,-0.183105,0.305176,-0.366211,sitting
-0.642578,0.072022,-0.768555,-1.403808,-0.305176,-0.671386,sitting
-0.640869,0.085083,-0.768799,-1.159668,0.12207,0.305176,sitting
-0.645142,0.086914,-0.764648,0.183105,0.915527,0.549316,sitting
-0.649902,0.091797,-0.773194,0.366211,2.075196,0.427246,sitting
-0.627564,0.074585,-0.769776,-0.427246,3.601074,-0.183105,sitting
-0.621948,0.070068,-0.78064,-0.549316,1.89209,0,sitting
-0.654785,0.089355,-0.766846,-1.098633,2.136231,1.159668,sitting
-0.641602,0.087036,-0.775635,-0.061035,3.295898,0.732422,sitting
-0.624512,0.084473,-0.773438,0.488281,1.220704,0.244141,sitting
-0.623657,0.092041,-0.78186,0,2.746581,0.305176,sitting
-0.597656,0.082153,-0.779419,2.197266,1.464844,-1.098633,sitting
-0.644898,0.080566,-0.764526,0.793457,-3.356933,-0.793457,sitting
-0.637573,0.090576,-0.768188,-0.183105,0.244141,-1.281738,sitting
-0.629395,0.071777,-0.77832,0.12207,-3.845214,-0.854492,sitting
-0.629272,0.086914,-0.770142,-0.732422,-0.976562,-0.854492,sitting
-0.62793,0.078491,-0.776489,-0.549316,-3.234863,-1.342773,sitting
-0.650879,0.08252,-0.777222,-1.403808,-2.990722,-1.220704,sitting
-0.635498,0.077026,-0.763184,-0.305176,-3.112792,-0.915527,sitting
-0.641724,0.076904,-0.76062,0.183105,-3.417968,-0.915527,sitting
-0.659302,0.081909,-0.769531,0,1.525878,0.427246,sitting
-0.644776,0.078369,-0.770752,-0.549316,3.295898,0.610352,sitting
-0.633667,0.082397,-0.774658,-0.488281,2.929687,0.976562,sitting
-0.642578,0.079224,-0.772949,-0.427246,-0.183105,0.793457,sitting
-0.642334,0.081909,-0.775513,-0.488281,2.136231,0.915527,sitting
-0.61145,0.088989,-0.783692,-0.610352,2.258301,0.671386,sitting
