Ax,Ay,Az,Gx,Gy,Gz,activity
-0.20105,0.449097,-0.069092,-3.845214,-12.81738,20.44677,stair-down
-0.387329,0.854614,-0.133789,30.51757,70.43458,165.5273,stair-down
-0.408325,0.911377,-0.143799,-1.647949,-14.95361,42.78564,stair-down
-0.408936,0.910889,-0.141357,-1.159668,-14.95361,37.10938,stair-down
-0.410522,0.91333,-0.140869,-0.305176,-18.43262,22.46093,stair-down
-0.421021,0.912354,-0.143188,1.098633,-20.75195,21.72851,stair-down
-0.429199,0.910645,-0.144897,2.563476,-21.60644,20.50781,stair-down
-0.436035,0.905274,-0.14563,3.234863,-21.24023,17.82227,stair-down
-0.436524,0.904419,-0.144409,4.760742,-19.9585,12.69531,stair-down
-0.428711,0.903198,-0.145996,5.920409,-20.019532,11.41357,stair-down
-0.42688,0.909912,-0.144409,7.019042,-20.20263,10.620116,stair-down
-0.420898,0.904785,-0.138062,8.361816,-20.44677,9.887696,stair-down
-0.421631,0.900391,-0.137573,8.178714,-20.3247,8.361816,stair-down
-0.4198,0.905152,-0.135864,8.789064,-18.737796,7.690428,stair-down
-0.405029,0.896851,-0.128296,8.544924,-18.43262,10.253904,stair-down
-0.411133,0.892334,-0.127075,8.178714,-17.33399,9.94873,stair-down
-0.412109,0.888184,-0.123657,6.713866,-14.892576,9.887696,stair-down
-0.412109,0.895752,-0.122437,5.798338,-12.20703,10.68115,stair-down
-0.408814,0.887451,-0.120361,4.272462,-10.55908,13.000484,stair-down
-0.419678,0.889771,-0.124512,2.197266,-7.751464,13.30566,stair-down
-0.4198,0.889526,-0.120605,1.159668,-4.150392,13.000484,stair-down
-0.419556,0.892944,-0.119141,-0.915527,-0.610352,13.610836,stair-down
-0.420532,0.895508,-0.124512,-1.647949,1.464844,13.549804,stair-down
-0.42273,0.897949,-0.124756,-2.441407,3.356933,11.657712,stair-down
-0.420166,0.901612,-0.12207,-2.136231,4.882814,9.399414,stair-down
-0.414551,0.900391,-0.120972,-2.197266,4.821778,8.117676,stair-down
-0.416992,0.898194,-0.126343,-2.258301,5.004884,6.04248,stair-down
