Ax,Ay,Az,Gx,Gy,Gz,activity
-0.224243,-0.265259,-0.360596,0.244141,0.305176,0.793457,stair-up
-0.422241,-0.497803,-0.680054,36.37696,89.1113,164.73384,stair-up
-0.448975,-0.530029,-0.720703,1.647949,1.770019,11.535644,stair-up
-0.449097,-0.530884,-0.720947,0.915527,1.708984,11.16943,stair-up
-0.450806,-0.53064,-0.722534,0.427246,-0.366211,1.098633,stair-up
-0.450317,-0.53125,-0.721924,0,-0.244141,0.305176,stair-up
-0.454468,-0.529419,-0.724732,0.061035,0.061035,0.915527,stair-up
-0.451172,-0.528809,-0.722534,0.366211,0.305176,0.915527,stair-up
-0.448364,-0.529419,-0.721802,0.427246,-1.159668,0.427246,stair-up
-0.449097,-0.53357,-0.71875,0.244141,-1.342773,0.549316,stair-up
-0.450073,-0.533936,-0.717285,0,-0.671386,1.037598,stair-up
-0.449951,-0.534546,-0.719482,-0.12207,-0.427246,0.793457,stair-up
-0.454102,-0.535278,-0.722412,-0.366211,-0.427246,0.671386,stair-up
-0.456543,-0.534424,-0.725464,-0.183105,-0.366211,0.549316,stair-up
-0.455688,-0.533814,-0.725464,0,-0.610352,-0.244141,stair-up
-0.454468,-0.531006,-0.727173,0,-0.427246,-0.427246,stair-up
-0.453735,-0.529419,-0.727783,0.244141,-0.305176,-0.610352,stair-up
-0.451538,-0.529785,-0.72522,0.366211,-0.061035,-0.610352,stair-up
-0.450195,-0.532104,-0.723389,0.305176,0.12207,-0.427246,stair-up
-0.449707,-0.527954,-0.722412,0.244141,-0.061035,-0.366211,stair-up
-0.446289,-0.528809,-0.719116,0.12207,-0.366211,-0.366211,stair-up
-0.452881,-0.528564,-0.721802,0.061035,-0.244141,0.244141,stair-up
-0.459473,-0.526612,-0.723389,0,0.427246,0.488281,stair-up
-0.453369,-0.52478,-0.719849,-0.183105,0.427246,0.305176,stair-up
-0.209473,0.202515,-0.37207,-8.911134,8.8501,-22.46093,stair-up
-0.399414,0.365845,-0.718262,27.16064,86.97508,156.61624,stair-up
-0.426025,0.396118,-0.762329,-9.46045,15.686032,-13.488768,stair-up
-0.424316,0.405274,-0.775879,-7.93457,12.57324,-9.277344,stair-up
-0.43457,0.410889,-0.799683,-6.958006,8.911134,-17.94434,stair-up
-0.442017,0.416138,-0.815796,-7.93457,10.43701,-16.6626,stair-up
-0.450806,0.421753,-0.829956,-8.666994,11.901852,-14.892576,stair-up
-0.457398,0.430786,-0.848999,-7.263182,12.20703,-14.282224,stair-up
-0.452759,0.433228,-0.859497,-5.371092,12.390136,-14.038084,stair-up
-0.432007,0.416748,-0.848633,-3.784179,11.230468,-15.19775,stair-up
-0.410889,0.402954,-0.826294,-2.01416,7.995604,-18.18848,stair-up
-0.385986,0.384522,-0.806519,0.854492,2.502442,-21.789548,stair-up
-0.377441,0.363525,-0.801758,3.356933,-2.01416,-23.803708,stair-up
-0.390991,0.339844,-0.794312,2.502442,-1.464844,-24.47509,stair-up
-0.418945,0.330933,-0.769898,-2.990722,1.770019,-25.81787,stair-up
-0.46521,0.37854,-0.783692,-7.263182,2.685546,-24.35302,stair-up
-0.49646,0.415283,-0.797119,-8.48389,3.417968,-23.437492,stair-up
-0.502197,0.424072,-0.804688,-9.46045,3.601074,-24.16992,stair-up
-0.509278,0.418457,-0.785034,-10.864256,3.234863,-26.18408,stair-up
-0.516602,0.429932,-0.765991,-11.901852,1.525878,-25.207516,stair-up
-0.542969,0.443848,-0.787476,-12.756344,-1.037598,-18.493652,stair-up
-0.555908,0.439575,-0.790772,-11.901852,-2.197266,-16.723632,stair-up
-0.54773,0.407959,-0.760986,-11.16943,-2.502442,-18.67676,stair-up
-0.524658,0.354858,-0.708618,-13.610836,-0.488281,-23.437492,stair-up
-0.518311,0.335449,-0.678589,-19.34815,1.403808,-25.8789,stair-up
-0.536255,0.381958,-0.67749,-25.8789,3.479003,-24.16992,stair-up
-0.543335,0.424316,-0.684082,-29.1748,4.821778,-19.16504,stair-up
-0.580811,0.471924,-0.703003,-30.45654,3.784179,-13.793944,stair-up
-0.579346,0.474609,-0.685425,-30.51757,5.187988,-13.427732,stair-up
-0.544556,0.450073,-0.632202,-36.438,6.53076,-13.671872,stair-up
-0.554444,0.462646,-0.654419,-37.47559,4.699708,-12.69531,stair-up
-0.574585,0.446655,-0.681396,-41.32079,7.263182,-12.145992,stair-up
-0.608276,0.452271,-0.695068,-40.52734,15.014646,-14.95361,stair-up
-0.567261,0.476929,-0.695679,-40.95458,20.69091,-18.43262,stair-up
-0.521484,0.481079,-0.677246,-32.16554,12.93945,-18.859868,stair-up
-0.499878,0.478272,-0.646118,-29.78515,3.234863,-16.723632,stair-up
-0.538818,0.472046,-0.610718,-39.30664,1.831054,-15.136716,stair-up
-0.550171,0.504272,-0.622803,-46.0205,6.958006,-14.892576,stair-up
-0.606323,0.59082,-0.694336,-54.50438,19.10401,-13.244628,stair-up
-0.575562,0.605225,-0.707154,-56.33544,26.79443,-14.892576,stair-up
-0.490601,0.599243,-0.661255,-45.28808,18.493652,-19.9585,stair-up
-0.489502,0.608154,-0.624634,-43.45702,16.05225,-10.131832,stair-up
-0.504272,0.682007,-0.646484,-36.31592,-1.098633,4.882814,stair-up
-0.494385,0.710694,-0.632812,-33.44727,-11.230468,20.62988,stair-up
-0.464844,0.715332,-0.616333,-32.89796,-26.42822,34.79004,stair-up
-0.449829,0.929444,-0.559326,-39.30664,-59.81444,68.0542,stair-up
-0.582031,1.072144,-0.596436,-37.23145,-66.52834,82.94676,stair-up
-0.552856,1.057862,-0.499146,-20.62988,-83.12986,100.0366,stair-up
-0.532959,0.980835,-0.463013,-17.7002,-80.13916,95.76414,stair-up
-0.391235,0.839112,-0.38501,-11.718748,-72.26564,53.58886,stair-up
-0.36792,0.815796,-0.348511,-5.920409,-65.00244,33.87452,stair-up
-0.357666,0.827759,-0.31604,4.028321,-58.83788,16.54053,stair-up
-0.352295,0.804566,-0.280151,22.88818,-46.81396,-5.126952,stair-up
-0.175293,0.876343,-0.273926,91.73582,-91.43066,-32.47071,stair-up
-0.337769,0.7146,-0.305786,25.81787,-35.82764,-23.25439,stair-up
-0.276733,0.695068,-0.314087,30.82275,-41.25976,-29.1748,stair-up
-0.344116,0.698364,-0.319824,16.78467,-19.04297,-14.5874,stair-up
-0.357544,0.733276,-0.310303,3.845214,1.159668,-6.469726,stair-up
-0.373657,0.802734,-0.302002,-9.887696,17.45606,13.671872,stair-up
-0.385742,0.854248,-0.32251,-18.79883,25.695796,19.89746,stair-up
-0.386719,0.867432,-0.324829,-11.535644,26.30615,31.494136,stair-up
-0.365234,0.817993,-0.325195,-11.108396,24.16992,31.005852,stair-up
-0.377808,0.81189,-0.340332,-13.30566,20.56884,28.25927,stair-up
-0.448608,0.85022,-0.346802,-5.432128,13.854978,25.02441,stair-up
-0.421387,0.790039,-0.332153,-3.479003,13.366696,22.27783,stair-up
-0.360352,0.772461,-0.360962,-13.854978,-1.342773,11.352536,stair-up
-0.360596,0.766113,-0.397217,-12.878416,-13.916012,11.352536,stair-up
-0.384522,0.791992,-0.419922,-14.892576,-22.949216,10.55908,stair-up
-0.425537,0.807129,-0.445313,-9.82666,-19.04297,11.657712,stair-up
-0.398071,0.779663,-0.451538,-9.58252,-15.930172,10.43701,stair-up
-0.388184,0.876099,-0.480957,-12.3291,-22.27783,15.07568,stair-up
-0.448975,0.950318,-0.46106,-3.540038,-32.22657,25.75683,stair-up
-0.581543,1.098877,-0.418823,4.211426,-27.03857,18.43262,stair-up
-0.588745,1.19812,-0.403809,4.455568,-14.282224,7.690428,stair-up
-0.478272,1.233643,-0.384522,7.751464,-10.0708,-26.12304,stair-up
-0.436035,1.073364,-0.366577,9.765626,-14.770504,-49.68261,stair-up
-0.430542,0.970947,-0.322998,5.798338,-2.990722,-67.688,stair-up
-0.419922,0.901489,-0.241211,-0.366211,37.17042,-75.6836,stair-up
-0.399292,0.85376,-0.195679,-3.051757,59.32616,-79.58984,stair-up
-0.296997,0.82019,-0.144653,-5.249022,72.0215,-66.34524,stair-up
-0.263306,0.777222,-0.13855,-4.638672,57.86132,-57.55614,stair-up
-0.281982,0.72876,-0.130737,-7.690428,28.80859,-43.15184,stair-up
-0.30542,0.718262,-0.135742,-11.16943,18.31055,-34.3628,stair-up
-0.336914,0.699341,-0.140015,-16.41846,16.845708,-24.41406,stair-up
-0.419067,0.766724,-0.16626,-22.949216,28.38134,-10.68115,stair-up
-0.408325,0.775513,-0.170288,-28.991692,31.67724,-1.403808,stair-up
-0.477417,0.782349,-0.272949,-33.02002,28.68652,11.596676,stair-up
-0.497437,0.770508,-0.298584,-31.616208,31.18896,16.113284,stair-up
-0.493774,0.74939,-0.350342,-35.64454,34.3628,13.916012,stair-up
-0.49939,0.783692,-0.380982,-33.93556,32.34864,19.04297,stair-up
-0.478516,0.810303,-0.415894,-23.315424,16.845708,17.33399,stair-up
-0.479614,0.804932,-0.414795,-17.57813,12.93945,19.77539,stair-up
-0.45752,0.867798,-0.380493,-10.375976,-0.12207,18.859868,stair-up
-0.469849,0.902466,-0.386841,-7.141112,-9.643556,20.019532,stair-up
-0.488037,0.947144,-0.394775,-5.737304,-13.97705,19.71436,stair-up
-0.479614,1.037964,-0.394653,-4.760742,-12.69531,22.583,stair-up
-0.499634,1.146484,-0.386841,-6.16455,-7.080076,29.05273,stair-up
-0.45044,1.282959,-0.335327,8.239746,-15.686032,25.63476,stair-up
-0.427734,1.295166,-0.310181,10.68115,-24.29199,34.97315,stair-up
-0.343506,1.152344,-0.272583,21.789548,-44.00634,18.859868,stair-up
-0.284424,0.80481,-0.240356,26.977532,-46.38671,14.282224,stair-up
-0.266358,0.791626,-0.23938,23.437492,-34.42384,2.319336,stair-up
-0.265015,0.759522,-0.231079,25.39062,-17.33399,-0.854492,stair-up
-0.23877,0.705566,-0.225098,25.085448,-7.568358,-6.28662,stair-up
-0.213623,0.605469,-0.234009,21.11816,-7.751464,-11.840818,stair-up
-0.223511,0.614502,-0.237549,16.6626,-6.103514,-16.17432,stair-up
-0.263062,0.664795,-0.266235,9.399414,-9.82666,-8.117676,stair-up
-0.309326,0.709717,-0.289917,7.995604,-12.512204,-4.150392,stair-up
-0.348511,0.747925,-0.284912,10.620116,-15.136716,3.540038,stair-up
-0.411499,0.795898,-0.330811,2.990722,-11.41357,14.70947,stair-up
-0.344238,0.782715,-0.373291,6.28662,-18.615724,11.16943,stair-up
-0.370972,0.841919,-0.462891,4.211426,-24.41406,29.90722,stair-up
-0.359375,0.820435,-0.437012,7.507323,-32.95899,31.127924,stair-up
-0.398926,0.863648,-0.395874,11.596676,-48.58398,26.42822,stair-up
-0.414063,0.817139,-0.381348,19.22608,-64.63624,19.40918,stair-up
-0.456787,0.822388,-0.391235,19.34815,-57.55614,2.929687,stair-up
-0.46106,0.869751,-0.381592,10.009768,-24.841304,-20.08056,stair-up
-0.479858,0.869629,-0.414063,4.577638,-8.117676,-20.75195,stair-up
-0.366577,0.849365,-0.474609,-13.610836,12.45117,-16.05225,stair-up
-0.387085,0.903076,-0.445923,-15.136716,6.774902,-2.197266,stair-up
-0.494385,1.083618,-0.333008,-9.58252,-6.40869,19.59229,stair-up
-0.491455,1.158692,-0.318237,-8.300784,-9.94873,21.301268,stair-up
-0.477173,1.16919,-0.32373,-3.173828,-19.77539,10.986324,stair-up
-0.463501,0.997925,-0.275146,-1.953124,-27.77099,-4.089356,stair-up
