Ax,Ay,Az,Gx,Gy,Gz,activity
0.142456,-0.478272,-0.082886,2.01416,-4.333496,-0.427246,standing
0.261963,-0.903687,-0.156372,37.04834,83.92332,161.43792,standing
0.273316,-0.958862,-0.168457,3.417968,-2.746581,11.840818,standing
0.272705,-0.961304,-0.168945,2.01416,-2.258301,8.666994,standing
0.270996,-0.960205,-0.169434,1.281738,-3.845214,-0.915527,standing
0.27124,-0.963379,-0.165772,1.037598,-3.967285,-0.183105,standing
0.270264,-0.957886,-0.166016,0.854492,-3.906249,-0.366211,standing
0.266602,-0.952393,-0.162598,0.854492,-3.845214,0,standing
0.267944,-0.9646,-0.15686,1.098633,-3.723144,-0.305176,standing
0.269898,-0.967774,-0.159546,0.854492,-3.784179,0.12207,standing
0.266358,-0.964844,-0.159546,0.915527,-3.723144,0.366211,standing
0.260742,-0.964112,-0.158325,0.610352,-2.502442,0.305176,standing
0.258423,-0.960205,-0.15918,0.183105,-0.854492,-0.183105,standing
0.259766,-0.959595,-0.16272,-0.12207,-0.12207,-0.976562,standing
0.251953,-0.96228,-0.160034,-0.610352,0.610352,-1.953124,standing
0.250855,-0.963135,-0.159546,-1.037598,1.281738,-1.89209,standing
0.251953,-0.961426,-0.162354,-1.281738,1.953124,-1.464844,standing
0.253052,-0.95752,-0.162842,-1.342773,2.441407,-0.549316,standing
0.254883,-0.954346,-0.163574,-1.342773,3.051757,0.183105,standing
0.257202,-0.957276,-0.161255,-1.403808,3.601074,0.488281,standing
0.265747,-0.960571,-0.161987,-1.525878,4.455568,0.488281,standing
0.279053,-0.959229,-0.166504,-1.647949,4.516602,0.854492,standing
0.280884,-0.956055,-0.169556,-1.525878,3.906249,1.098633,standing
0.281128,-0.953491,-0.171387,-1.220704,3.356933,1.159668,standing
0.282715,-0.956787,-0.172852,-0.976562,2.868652,0.793457,standing
0.285278,-0.956909,-0.172119,-1.037598,2.258301,0.366211,standing
0.2854,-0.954224,-0.171753,-0.915527,1.037598,0,standing
0.280029,-0.955322,-0.170776,-0.488281,-1.037598,-0.610352,standing
0.273193,-0.953736,-0.167847,-0.183105,-1.464844,-0.976562,standing
0.270996,-0.954712,-0.166382,0.244141,-1.647949,-1.220704,standing
0.267944,-0.95813,-0.16394,0.976562,-2.502442,-0.549316,standing
0.270996,-0.958008,-0.165405,1.220704,-2.258301,0.061035,standing
0.27124,-0.956787,-0.168335,0.976562,-2.319336,0.244141,standing
0.267944,-0.952148,-0.167847,0.854492,-2.380371,0.12207,standing
0.267578,-0.960205,-0.166504,1.037598,-3.173828,-0.061035,standing
0.263794,-0.961182,-0.163086,0.976562,-3.051757,-0.305176,standing
0.259399,-0.964722,-0.164551,0.488281,-2.197266,-1.281738,standing
0.257446,-0.95874,-0.163452,-0.183105,-1.220704,-1.159668,standing
0.255982,-0.959106,-0.160767,-0.305176,-0.549316,-0.793457,standing
0.265747,-0.960571,-0.160278,-0.12207,0.183105,0.183105,standing
0.26709,-0.963623,-0.162354,-0.366211,0.488281,0.183105,standing
0.268555,-0.957031,-0.167236,-0.244141,0.183105,0,standing
0.268433,-0.95813,-0.166626,0,-0.12207,-0.183105,standing
0.26648,-0.960327,-0.163574,0.183105,-1.159668,-0.488281,standing
