Ax,Ay,Az,Gx,Gy,Gz,activity,,,
-0.472412,-0.086914,0.272461,18.371584,-7.446288,-21.545408,walking,,,
-0.889893,-0.123413,0.464844,43.57909,96.5576,161.62108,walking,,,
-0.865845,-0.105713,0.572754,19.77539,27.28271,16.54053,walking,,,
-0.813232,-0.105347,0.563354,14.09912,20.69091,23.86474,walking,,,
-0.756104,-0.134277,0.514771,11.535644,7.202148,14.5874,walking,,,
-0.757812,-0.133911,0.536987,7.202148,-10.620116,18.737796,walking,,,
-0.845825,-0.105957,0.555908,5.493162,-23.071284,23.071284,walking,,,
-0.989624,-0.096436,0.484619,6.591796,-0.915527,21.179192,walking,,,
-0.690064,-0.026855,0.598999,17.94434,15.258788,13.916012,walking,,,
-0.657593,-0.188477,0.421509,21.301268,-1.89209,10.55908,walking,,,
-0.6604,-0.327881,0.452271,9.887696,4.638672,-10.864256,walking,,,
-0.579224,-0.182129,0.55481,6.04248,-8.60596,-26.55029,walking,,,
-0.697754,-0.117432,0.651001,7.812498,-40.22216,-31.31103,walking,,,
-0.82898,-0.034912,0.579224,13.366696,-34.42384,-30.2124,walking,,,
-0.804444,-0.17041,0.41394,8.422854,-37.17042,-25.93994,walking,,,
-0.936402,-0.133057,0.503174,-2.807617,-33.99659,-18.9209,walking,,,
-0.947998,0.006226,0.6698,-7.263182,-14.95361,-12.756344,walking,,,
-0.752564,-0.022705,0.543457,1.525878,-9.643556,-4.943848,walking,,,
-0.782349,-0.169434,0.471802,-9.399414,-21.179192,-1.647949,walking,,,
-0.865967,-0.08606,0.452026,-18.127448,-19.65332,-2.868652,walking,,,
-0.89148,-0.043701,0.5271,-18.615724,-10.80322,4.821778,walking,,,
-0.841919,-0.017944,0.641968,-18.005376,-16.235352,7.873534,walking,,,
-0.881104,-0.021606,0.591187,-16.96778,-11.474608,11.779784,walking,,,
-0.854248,-0.049072,0.593506,-19.65332,-1.403808,15.624996,walking,,,
-0.790405,-0.036133,0.669312,-22.03369,0.732422,17.45606,walking,,,
-0.794312,-0.030884,0.677002,-22.64404,-5.798338,18.127448,walking,,,
-0.846436,0.008057,0.590454,-20.50781,0,19.10401,walking,,,
-0.814575,0.101563,0.47998,-18.06641,10.498044,17.57813,walking,,,
-0.853638,0.082764,0.533203,-20.019532,18.31055,16.235352,walking,,,
-0.817749,-0.00354,0.618652,-21.24023,27.709956,19.10401,walking,,,
-0.812012,-0.047852,0.553101,-24.90234,23.01025,23.193352,walking,,,
-0.842652,-0.17273,0.657959,-35.09522,-9.277344,18.737796,walking,,,
-0.967529,-0.168823,0.550781,-35.15626,-5.798338,20.019532,walking,,,
-0.741211,-0.123047,0.498413,-20.56884,4.089356,16.78467,walking,,,
-0.66919,-0.126587,0.699219,-16.05225,1.831054,10.986324,walking,,,
-0.818726,-0.191284,0.62732,-16.05225,-13.366696,0.305176,walking,,,
-0.83728,-0.209717,0.555908,-15.686032,-5.249022,-0.061035,walking,,,
-0.790283,-0.192749,0.567261,-14.46533,-4.943848,1.281738,walking,,,
-0.793701,-0.192871,0.521851,-13.366696,10.253904,10.375976,walking,,,
-0.739014,-0.190064,0.542358,-15.136716,4.028321,11.657712,walking,,,
-0.804688,-0.18811,0.501709,-17.94434,-1.708984,13.97705,walking,,,
-0.808838,-0.213623,0.487183,-20.08056,-3.784179,16.235352,walking,,,
-0.824951,-0.174805,0.482544,-21.48437,-7.385252,15.380856,walking,,,
-0.869629,-0.207764,0.517578,-21.91162,-7.690428,14.34326,walking,,,
-0.866211,-0.165527,0.465332,-17.57813,5.554198,13.18359,walking,,,
-0.868774,-0.122681,0.468384,-16.41846,7.385252,9.887696,walking,,,
-0.863526,-0.117432,0.456787,-12.81738,15.930172,8.911134,walking,,,
-0.83606,-0.105591,0.485352,-12.634276,19.9585,8.544924,walking,,,
